anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,word
0,0,0,1,0,1,0,0,1,0,abandon
1,0,0,1,0,1,0,0,1,0,abandoned
0,0,0,0,0,0,0,0,0,1,ability
0,0,1,1,0,1,0,0,1,0,abortion
0,0,0,0,0,1,0,0,1,0,absent
0,0,0,0,0,0,0,0,0,1,absolute
1,0,1,1,0,1,0,0,1,0,abuse
0,0,0,0,0,0,0,1,0,1,academic
0,0,0,0,0,0,0,0,0,1,academy
0,0,0,0,0,0,0,0,0,1,acceptable
0,0,0,0,0,0,0,0,0,1,acceptance
0,0,0,0,0,0,0,0,0,1,accessible
0,0,0,0,1,0,0,0,0,1,accomplish
0,0,0,0,1,0,0,0,0,1,accomplished
0,0,0,0,0,0,0,0,0,1,accomplishment
0,0,0,0,0,0,0,1,0,0,account
0,0,0,0,0,0,0,1,0,1,accountability
0,0,0,0,0,0,0,1,0,1,accountable
0,0,0,0,0,0,0,1,0,0,accountant
0,0,0,0,0,0,0,1,0,0,accounts
0,0,0,0,0,0,0,1,0,1,accurate
0,0,0,0,0,0,0,0,0,1,ace
0,0,0,0,0,1,0,0,1,0,ache
0,0,0,0,1,0,0,1,0,1,achieve
0,1,0,0,1,0,0,1,0,1,achievement
0,0,0,0,0,1,0,0,1,0,aching
0,0,0,0,0,0,0,0,1,0,acid
0,0,0,0,0,0,0,0,0,1,acquire
0,0,0,0,0,0,0,0,0,1,action
0,0,0,0,0,0,0,0,1,0,addiction
0,0,0,0,0,0,0,1,0,0,administrative
0,0,0,0,1,0,0,1,0,1,admirable
0,0,0,0,0,0,0,1,0,1,admiral
0,0,0,0,1,0,0,1,0,1,admiration
0,0,0,0,0,0,0,1,0,1,admire
0,0,0,0,0,0,0,0,0,1,admirer
0,0,0,0,1,0,0,0,0,1,adorable
0,1,0,0,1,0,0,1,0,1,adore
0,1,0,1,1,0,1,0,0,1,advance
0,0,0,0,0,0,0,0,0,1,advanced
0,0,0,0,0,0,0,0,0,1,advantage
0,1,0,0,0,0,0,0,0,1,adventure
0,0,0,0,0,0,0,0,0,1,adventurous
1,0,1,1,0,1,0,0,1,0,adverse
1,0,0,1,0,1,0,0,1,0,adversity
0,0,0,0,0,0,0,1,0,0,advice
0,0,0,0,0,0,0,1,0,1,advise
0,0,0,0,0,0,0,1,0,0,advised
0,0,0,0,0,0,0,1,0,1,adviser
0,0,0,0,1,0,0,1,0,1,affection
0,0,0,1,0,0,0,0,1,0,afraid
1,0,1,1,0,1,0,0,1,0,aftermath
1,0,0,0,0,0,0,0,1,0,aggravated
1,0,0,1,0,0,0,0,1,0,aggression
1,0,0,1,0,0,0,0,1,0,aggressive
1,0,0,0,0,0,0,0,1,0,agitated
1,0,0,1,0,1,0,0,1,0,agony
0,0,0,0,0,0,0,0,0,1,agree
0,0,0,0,0,0,0,1,0,1,agreed
0,0,0,0,0,0,0,1,0,1,agreeing
0,0,0,0,0,0,0,1,0,1,agreement
0,0,0,0,0,0,0,0,0,1,ahead
0,0,0,1,0,0,1,0,1,0,alarm
0,0,0,1,0,0,1,0,1,0,alarming
1,0,1,1,0,1,0,0,1,0,alcoholism
0,1,0,0,1,0,0,1,0,1,alive
0,0,0,0,0,0,0,1,0,1,ally
0,0,0,0,0,0,1,0,0,0,amaze
0,0,0,0,1,0,1,0,0,1,amazingly
0,1,0,0,1,0,0,1,0,1,ambition
0,0,0,0,1,0,0,1,0,1,amen
0,0,0,0,1,0,0,0,0,1,amuse
0,0,0,0,1,0,0,0,0,1,amused
0,0,0,0,1,0,0,0,0,1,amusement
0,0,0,0,1,0,0,0,0,1,amusing
0,0,0,0,0,0,0,0,1,0,anal
0,1,0,0,0,0,0,1,0,1,analyst
0,0,0,0,0,0,0,0,1,0,ancient
0,1,0,0,1,0,1,1,0,1,angel
0,0,0,0,1,0,0,1,0,1,angelic
1,0,0,0,0,0,0,0,1,0,anger
1,0,1,0,0,0,0,0,1,0,angry
1,0,1,0,0,0,0,0,1,0,annoy
1,0,1,0,0,0,0,0,1,0,annoyance
1,0,0,0,0,0,0,0,1,0,annoying
0,0,0,0,0,0,0,0,1,0,anonymous
1,1,0,1,0,1,0,0,1,0,anxiety
0,1,0,1,0,0,0,0,1,0,anxious
0,0,0,0,0,1,0,0,1,0,apathy
0,0,0,0,0,1,0,1,0,1,apologize
0,0,0,0,0,0,0,0,0,1,apology
0,0,1,1,0,0,0,0,1,0,appalling
0,0,0,0,1,0,0,1,0,1,appreciation
0,1,0,1,0,0,0,0,1,0,apprehensive
0,0,0,0,0,0,0,1,0,0,apprentice
0,1,0,0,0,0,0,0,0,0,approaching
0,0,0,0,0,0,0,0,0,1,approval
0,0,0,0,1,0,0,1,0,1,approve
1,0,0,0,0,0,0,0,1,0,argue
1,0,0,0,0,0,0,0,1,0,argument
0,0,0,0,0,0,0,0,1,0,argumentative
1,0,0,0,0,0,0,0,0,0,arguments
0,0,0,0,0,0,0,0,0,1,aroma
0,1,0,0,0,0,0,0,0,0,arrival
0,1,0,0,0,0,0,0,0,0,arrive
0,0,0,0,0,0,0,0,1,0,arrogance
1,0,1,0,0,0,0,0,1,0,arrogant
0,1,0,0,1,1,1,0,0,1,art
0,0,0,0,0,0,0,0,0,1,artistic
0,0,1,0,0,1,0,0,1,0,ashamed
0,1,0,0,1,0,0,1,0,1,aspiring
0,0,0,0,0,0,0,0,1,0,ass
1,0,0,1,0,1,0,0,1,0,assassin
1,0,0,1,0,1,0,0,1,0,assassination
1,0,0,1,0,0,0,0,1,0,assault
0,0,0,0,0,0,0,1,0,1,assembly
1,0,1,0,0,0,0,0,1,0,asshole
0,0,0,0,0,0,0,0,0,1,assistance
0,0,0,0,0,0,0,1,0,1,associate
0,0,0,0,0,0,0,1,0,0,association
0,0,0,0,0,0,0,1,0,1,assurance
